ngram,count
و,68578
به,48070
از,46932
در,46697
که,33298
را,32541
این,26231
است,24871
با,18946
برای,17094
یک,11012
یا,10978
کنید,10493
آن,9772
می‌شود,8881
مصرف,7786
استفاده,7749
خود,6930
شما,6902
می‌کند,6620
تا,6613
می‌تواند,5829
بدن,5705
دارد,5658
درمان,5604
کاهش,5067
شود,4781
بر,4756
اگر,4720
آب,4680
باعث,4611
نیز,4586
هستند,4579
باید,4530
بیماری,4331
پوست,4246
اما,4204
ممکن,4185
افراد,4040
روی,4031
افزایش,3948
کمک,3899
مواد,3892
کند,3864
هم,3782
شده,3708
صورت,3689
هر,3617
وجود,3476
غذایی,3470
باشد,3395
خون,3381
انجام,3376
می‌کنند,3373
قرار,3265
می‌دهد,3114
بیشتر,3053
مورد,2989
دارند,2977
مانند,2926
دیگر,2918
ایجاد,2907
همچنین,2902
دندان,2894
کردن,2874
سرطان,2851
آنها,2797
برخی,2777
درد,2769
شدن,2668
روز,2574
بین,2536
روغن,2527
بسیار,2523
کنند,2508
علائم,2501
دهید,2458
ویتامین,2435
پزشک,2369
می‌شوند,2336
دو,2299
نشان,2296
بعد,2229
طور,2212
کار,2201
یکی,2178
گرم,2135
سلامت,2112
پس,2090
کرد,2082
دلیل,2056
هایی,2032
دارو,2016
خطر,1960
مبتلا,1959
چای,1904
دست,1887
مدت,1880
می‌توانید,1870
فرد,1867
نوع,1866
طبیعی,1851
عنوان,1844
کم,1826
ما,1815
چه,1795
مشکلات,1788
ضد,1787
خواب,1769
نیاز,1765
داروهای,1754
ویروس,1727
ابتلا,1719
حال,1716
بهبود,1711
نیست,1693
جلوگیری,1666
حتی,1641
زمان,1636
زیادی,1635
عفونت,1626
سال,1618
بسیاری,1593
بیماری‌های,1579
غذا,1579
بیش,1578
میزان,1569
آسیب,1568
نظر,1566
بالا,1558
همراه,1558
طول,1555
کننده,1552
آن‌ها,1550
بروز,1543
قبل,1535
حاوی,1535
موارد,1525
کرده,1518
زیر,1513
احساس,1494
بهتر,1493
چند,1482
زندگی,1481
تاثیر,1472
توصیه,1465
افرادی,1465
دهان,1463
می‌توانند,1461
کرونا,1460
فشار,1457
آنتی,1453
اینکه,1447
خوردن,1427
وزن,1424
درمانی,1424
بدون,1420
عوارض,1407
شده_است,1405
بار,1401
دچار,1399
رژیم,1395
مغز,1395
مفید,1372
بنابراین,1372
درصد,1368
دقیقه,1342
معده,1338
سیستم,1336
رشد,1335
دارای,1331
کودکان,1328
بی,1325
انواع,1318
زیاد,1316
دهد,1314
زمانی,1314
معمولا,1310
روش,1303
قاشق,1287
گیاه,1274
همه,1269
زیرا,1266
دارید,1264
توجه,1246
کنترل,1240
می‌باشد,1229
شامل,1228
مشکل,1227
سر,1225
مقدار,1222
تولید,1214
تقویت,1212
موجود,1207
چربی,1199
ایمنی,1198
می‌توان,1198
هنگام,1197
خواص,1192
بیماران,1185
قلبی,1173
سطح,1167
مو,1154
بخش,1151
شدید,1150
التهاب,1147
سالم,1141
تشخیص,1139
مثل,1138
اضافه,1135
پیشگیری,1130
استرس,1129
ناشی,1119
شیر,1111
پیدا,1087
هیچ,1087
شوند,1085
مهم,1083
علاوه,1082
عمل,1081
مناسب,1081
اثر,1078
می‌دهند,1074
روزانه,1069
جراحی,1065
غذاهای,1055
روده,1053
احتمال,1049
نتیجه,1042
تغییر,1041
دکتر,1041
رنگ,1038
زنان,1038
پزشکی,1038
همین,1035
تخم,1032
خشک,1029
لازم,1023
مختلف,1021
سپس,1020
بیشتری,1017
داشته_باشید,1017
اختلال,1015
موثر,1012
حد,1012
تنها,1009
ماسک,997
راه,993
تهیه,991
کبد,990
منجر,990
بررسی,989
کمی,984
قلب,984
سایر,984
موجب,983
۱۰,976
علت,976
شرایط,968
هفته,960
ماده,959
بهترین,958
جمله,955
